target_return,volatility,sharpe,URTH,AOA,XLV,SPY,VNQ,QQQ,EMB,BNDX,AAXJ,VT
0.000000,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.069087,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.068382,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.027579,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.028827,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.030076,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.031324,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.032572,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.033820,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.035069,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.036317,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.037565,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.038813,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.060627,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.059922,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.059217,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.058512,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.057807,0.069792,0.222431,0.000000,0.039867,0.160133,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0
0.057102,0.069948,0.233072,0.000000,0.023948,0.184168,0.000000,0.000000,0.000145,0.391739,0.400000,0.000000,0
0.056398,0.070281,0.249731,0.000000,0.016713,0.186538,0.000000,0.000000,0.010496,0.386254,0.400000,0.000000,0
0.055693,0.070632,0.266162,0.000000,0.010829,0.188645,0.000000,0.000000,0.020468,0.380058,0.400000,0.000000,0
0.054988,0.071001,0.282359,0.000000,0.004944,0.190753,0.000000,0.000000,0.030440,0.373864,0.400000,0.000000,0
